strategy.max_holding_days,signal.high_percentile,run_id,annualized_return,max_drawdown,sharpe_ratio,annualized_volatility,win_rate,payoff_ratio,profit_factor,trade_count,rank
15,80,9bd514b2bad7,0.03574401027960494,-0.00463126751345444,1.8395444051834606,0.01919222545420553,0.9230769230769231,0.9149638536097514,10.979566243317016,13.0,1
10,80,63bab7cb7f3f,0.03128310682644875,-0.004655982885048093,1.5669474434104789,0.019783395047847683,0.7777777777777778,2.1900942403876096,7.665329841356633,18.0,2
15,60,af32ea5be81d,0.03060777543946447,-0.0076516210777352045,1.3493743348873253,0.022530559518143273,0.8125,0.9731254383942092,4.2168768997082395,16.0,3
15,70,6a4a24744c98,0.028458577645639194,-0.0076516210777352045,1.2911571739010312,0.021919021602201397,0.8,0.9981360133522067,3.9925440534088272,15.0,4
5,80,0a1671f851d2,0.01953867243030394,-0.004205293680676014,1.251348484145868,0.015559986030881672,0.7619047619047619,0.9381732198394749,3.0021543034863196,21.0,5
10,60,26776e3e3f6b,0.027058162496863547,-0.007649388268271218,1.2224312093324425,0.022038644310301454,0.7,1.5204037313201617,3.5476087064137105,20.0,6
10,70,8994b77a29ef,0.027058162496863547,-0.007649388268271218,1.2224312093324425,0.022038644310301454,0.7,1.5204037313201617,3.5476087064137105,20.0,7
5,60,a9558e46332a,0.013215056636558309,-0.007940887252286699,0.7080944727871618,0.018788266480177233,0.6785714285714286,0.8071956482137941,1.7040797017846763,28.0,8
5,70,3516ca145cca,0.009591956573816285,-0.007940887252286699,0.5561420191815842,0.017436562660329547,0.6538461538461539,0.8002047702196449,1.5114978993037735,26.0,9
